COMPOSITOR,QUANTIDADE_DO,QUANTIDADE_DO_SUST,QUANTIDADE_RE,QUANTIDADE_RE_SUST,QUANTIDADE_MI,QUANTIDADE_FA,QUANTIDADE_FA_SUST,QUANTIDADE_SOL,QUANTIDADE_SOL_SUST,QUANTIDADE_LA,QUANTIDADE_LA_SUST,QUANTIDADE_SI,MEDIA_INTERVALOS,MEDIA_CONTORNO,2_NOTAS_SEGUIDAS,3_NOTAS_SEGUIDAS,MEDIA_DURACAO_NOTAS,MEDIA_DURACAO_PAUSAS,INT_HARM_1,INT_HARM_2,INT_HARM_3,INT_HARM_4,INT_HARM_5,INT_HARM_6,INT_HARM_7,INT_HARM_8,INT_HARM_9,INT_HARM_10,INT_HARM_11,INT_HARM_12,NOTA_DURACAO_<0.5,NOTA_DURACAO_0.5-1,NOTA_DURACAO_1-2,NOTA_DURACAO_2-4,NOTA_DURACAO_>4,PAUSA_DURACAO_<0.5,PAUSA_DURACAO_0.5-1,PAUSA_DURACAO_1-2,PAUSA_DURACAO_2-4,PAUSA_DURACAO_>4
Johann Sebastian Bach,128,39,136,43,206,75,84,107,64,170,24,157,-0.009716599190283401,0.03643724696356275,2,0,0.6273597626752967,0.7222222222222222,2,2,1,8,4,18,19,33,68,26,2,26,141,880,151,62,2,23,86,4,2,8
Johann Sebastian Bach,850,116,977,485,309,737,229,1145,166,691,896,154,-0.0025682616923492834,0.07231684238983509,141,15,0.435802135423707,1.0672727272727272,442,505,409,378,416,207,497,352,559,324,105,812,4644,2099,505,111,40,105,80,33,34,23
Johann Sebastian Bach,209,936,1244,114,1340,78,1350,871,280,1286,86,1124,0.0,0.10517008218038074,504,65,0.3717235281880597,0.8403780068728522,202,612,609,515,512,227,679,501,694,435,115,911,6903,2187,428,92,4,187,145,88,55,10
Johann Sebastian Bach,158,98,270,44,247,23,278,261,26,302,25,296,-0.011472275334608031,-0.008604206500956023,38,1,0.38222646918299086,0.6358974358974359,38,75,140,134,116,48,136,100,135,64,15,144,1252,781,47,13,0,85,77,22,9,2
Johann Sebastian Bach,209,47,137,197,37,224,8,232,172,50,241,6,0.002530044275774826,-0.08538899430740038,36,0,0.3912241887905604,0.6022135416666666,23,88,113,87,80,39,148,95,115,55,14,98,944,592,42,4,0,56,68,0,1,3
Johann Sebastian Bach,248,82,214,428,24,338,10,318,288,54,410,22,-0.004895960832313341,-0.07792737658098735,26,0,0.38927406199021214,0.7714843749999999,16,64,154,124,100,58,168,170,220,78,20,168,1560,800,66,26,0,84,120,20,32,0
Johann Sebastian Bach,186,17,205,4,257,124,25,120,61,239,6,218,0.0030637254901960784,-0.09497549019607843,15,0,1.1978464992855706,0.8599554234769695,25,127,518,365,456,157,542,352,483,162,51,781,1,994,455,152,31,810,294,79,78,85
Johann Sebastian Bach,267,54,239,36,188,262,15,221,24,233,159,65,-0.005689900426742532,-0.03982930298719772,53,3,0.348696682464455,1.0460618846694802,70,108,261,236,201,78,196,191,166,85,28,244,1647,338,116,9,0,393,93,101,361,0
Johann Sebastian Bach,238,5,197,218,27,194,30,269,79,72,82,72,-0.006795016987542469,-0.08663646659116647,29,5,0.4581211092246751,1.5083586626139813,66,112,316,273,253,101,251,273,303,106,29,324,1258,314,119,60,16,94,67,63,39,66
Johann Sebastian Bach,87,51,188,18,150,144,27,131,28,187,97,44,-0.010416666666666666,-0.19444444444444445,14,0,0.9232437120555074,2.5642201834862384,1,31,189,164,169,100,214,153,203,85,38,180,363,305,279,196,10,3,20,13,29,44
